"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"H4";"MountingHole_2.7mm_M2.5_DIN965_Pad";1;"HOLE4";;;
2;"H3";"MountingHole_2.7mm_M2.5_DIN965_Pad";1;"HOLE3";;;
3;"H2";"MountingHole_2.7mm_M2.5_DIN965_Pad";1;"HOLE2";;;
4;"H1";"MountingHole_2.7mm_M2.5_DIN965_Pad";1;"HOLE1";;;
5;"SW2,SW1";"SW_PUSH_6mm_H13mm";2;"SW_PUSH";;;
6;"J5";"DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm";1;"Joystick";;;
7;"CN1";"ZX_EDGE_SOLDER";1;"ZX_CONNECTOR_SOLDER";;;
8;"U7";"Arduino_Nano";1;"Arduino_Nano";;;
9;"CN2";"ZX_EDGE_BACK";1;"ZX_CONNECTOR_BACK";;;
10;"D3";"LED_D3.0mm";1;"PWR_LED";;;
11;"SW4";"SPDT_ON_OFF_Big";1;"PAUSE";;;
12;"U1";"SOIC-18W_7.5x11.6mm_P1.27mm";1;"PIC16F1826";;;
13;"U2,U3";"PLCC-32_THT-Socket";2;"39SF040";;;
14;"SW5";"SPDT_ON_OFF_Big";1;"ROMSEL";;;
15;"U4,U5";"SOIC-14_3.9x8.7mm_P1.27mm";2;"74HCT32";;;
16;"U8";"SO-20_12.8x7.5mm_P1.27mm";1;"74HCT240";;;
17;"SW3";"SPDT_ON_OFF_Big";1;"Joy_ON_OFF";;;
18;"J1";"PinHeader_1x05_P2.54mm_Horizontal";1;"PIC_Prog";;;
19;"Q1";"TO-92_Wide";1;"BC548";;;
20;"U6";"SD_Card";1;"SDCard";;;
21;"C1,C2,C3,C6,C7,C8,C9,C10,C11,C12,C4,C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";12;"100nF";;;
22;"R9,R1,R2,R4,R5,R6,R7,R8,R13";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";9;"10K";;;
23;"D1,D2";"D_SOD-123";2;"1N4148";;;
24;"R10,R11";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"680R";;;
25;"R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100K";;;
26;"U10";"SOIC-14_3.9x8.7mm_P1.27mm";1;"TXB0104DR";;;
27;"R12";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"470R";;;
28;"U9";"microSD_HC_Molex_104031-0811";1;"mSD_Card";;;
